iter	Logloss
0	0.5412389818
1	0.4315443511
2	0.3618023953
3	0.3093616743
4	0.2663403813
5	0.2398834642
6	0.2037497172
7	0.1740863118
8	0.1535787392
9	0.1381922152
10	0.1245133232
11	0.1114229065
12	0.1044667402
13	0.0946346196
14	0.08779064156
15	0.08249738545
16	0.07652186577
17	0.07174785773
18	0.06711245459
19	0.06202518198
20	0.05789445706
21	0.05548204875
22	0.05298888148
23	0.04965934905
24	0.04798971646
25	0.04567787756
26	0.04340703905
27	0.04077856796
28	0.04008535951
29	0.03700568081
30	0.03527428016
31	0.03330032621
32	0.03174492252
33	0.03097886688
34	0.03047799689
35	0.02939712527
36	0.02836861453
37	0.02683423221
38	0.02601019822
39	0.02493687704
40	0.02429435611
41	0.02313953239
42	0.02263449892
43	0.02220663007
44	0.02170218009
45	0.02132386371
46	0.02054660725
47	0.02039632951
48	0.01984591267
49	0.01923316695
50	0.01886447911
51	0.01838222357
52	0.01803054508
53	0.01744344722
54	0.01731301684
55	0.01672164993
56	0.01617973917
57	0.01566089503
58	0.01520676892
59	0.01505462091
60	0.01489130716
61	0.01458358576
62	0.01416894663
63	0.01413461227
64	0.01406304807
65	0.01397354655
66	0.01391867658
67	0.01351605281
68	0.01309450429
69	0.01300336274
70	0.01255887332
71	0.01234199077
72	0.01180392759
73	0.01174934503
74	0.0117140037
75	0.01168165819
76	0.0114397465
77	0.0113553637
78	0.01114399024
79	0.01109896086
80	0.01081276779
81	0.01059033274
82	0.01052814954
83	0.01029788786
84	0.009868101109
85	0.009769145511
86	0.009548585746
87	0.009368963606
88	0.009029553896
89	0.008951709921
90	0.008695513332
91	0.008677594856
92	0.00859174556
93	0.008486252002
94	0.008374220237
95	0.008232886402
96	0.008207844486
97	0.008021260504
98	0.008009180046
99	0.007734762901
