iter	Passed	Remaining
0	1	147
1	2	134
2	4	133
3	5	127
4	6	129
5	7	125
6	9	124
7	10	123
8	11	120
9	13	117
10	14	116
11	16	117
12	18	121
13	19	119
14	20	117
15	21	115
16	23	114
17	24	113
18	26	113
19	28	112
20	29	110
21	30	108
22	31	106
23	33	105
24	34	103
25	35	102
26	37	100
27	38	98
28	39	97
29	41	96
30	42	94
31	43	92
32	45	91
33	46	89
34	47	88
35	48	86
36	49	85
37	51	83
38	52	81
39	53	80
40	54	78
41	55	77
42	57	75
43	58	74
44	59	72
45	60	71
46	61	69
47	63	68
48	64	66
49	65	65
50	66	64
51	67	62
52	69	61
53	70	59
54	71	58
55	72	57
56	73	55
57	75	54
58	76	53
59	77	51
60	78	50
61	80	49
62	81	48
63	82	46
64	84	45
65	85	44
66	86	42
67	88	41
68	89	40
69	90	38
70	91	37
71	93	36
72	94	34
73	95	33
74	96	32
75	97	30
76	99	29
77	100	28
78	101	27
79	103	25
80	104	24
81	105	23
82	106	21
83	107	20
84	109	19
85	110	17
86	111	16
87	113	15
88	114	14
89	115	12
90	117	11
91	118	10
92	120	9
93	122	7
94	123	6
95	124	5
96	126	3
97	127	2
98	129	1
99	130	0
